Categoría: Todas las categorías

Mes,artificial intelligence: (Todo el mundo)
2004-01,93
2004-02,100
2004-03,83
2004-04,92
2004-05,58
2004-06,66
2004-07,61
2004-08,68
2004-09,83
2004-10,65
2004-11,71
2004-12,72
2005-01,57
2005-02,66
2005-03,65
2005-04,58
2005-05,56
2005-06,51
2005-07,52
2005-08,42
2005-09,59
2005-10,48
2005-11,59
2005-12,38
2006-01,40
2006-02,42
2006-03,41
2006-04,38
2006-05,32
2006-06,31
2006-07,30
2006-08,30
2006-09,44
2006-10,37
2006-11,37
2006-12,34
2007-01,28
2007-02,29
2007-03,33
2007-04,32
2007-05,32
2007-06,23
2007-07,28
2007-08,25
2007-09,28
2007-10,30
2007-11,30
2007-12,27
2008-01,27
2008-02,28
2008-03,30
2008-04,26
2008-05,24
2008-06,23
2008-07,21
2008-08,20
2008-09,25
2008-10,24
2008-11,25
2008-12,23
2009-01,22
2009-02,25
2009-03,25
2009-04,26
2009-05,25
2009-06,22
2009-07,24
2009-08,29
2009-09,27
2009-10,26
2009-11,28
2009-12,26
2010-01,27
2010-02,26
2010-03,26
2010-04,25
2010-05,22
2010-06,20
2010-07,21
2010-08,21
2010-09,24
2010-10,29
2010-11,25
2010-12,22
2011-01,23
2011-02,25
2011-03,23
2011-04,23
2011-05,22
2011-06,21
2011-07,21
2011-08,24
2011-09,25
2011-10,31
2011-11,31
2011-12,27
2012-01,25
2012-02,26
2012-03,26
2012-04,22
2012-05,23
2012-06,22
2012-07,21
2012-08,20
2012-09,24
2012-10,24
2012-11,21
2012-12,21
2013-01,21
2013-02,23
2013-03,21
2013-04,23
2013-05,22
2013-06,20
2013-07,18
2013-08,18
2013-09,21
2013-10,22
2013-11,24
2013-12,21
2014-01,23
2014-02,25
2014-03,24
2014-04,24
2014-05,23
2014-06,20
2014-07,18
2014-08,23
2014-09,22
2014-10,24
2014-11,28
2014-12,27
2015-01,27
2015-02,29
2015-03,29
2015-04,27
2015-05,32
2015-06,27
2015-07,30
2015-08,28
2015-09,29
2015-10,31
2015-11,32
2015-12,29
2016-01,34
2016-02,31
2016-03,36
2016-04,35
2016-05,32
2016-06,31
2016-07,26
2016-08,27
2016-09,32
2016-10,38
2016-11,41
2016-12,40
2017-01,42
2017-02,43
2017-03,46
2017-04,44
2017-05,49
2017-06,43
2017-07,45
2017-08,53
2017-09,58
2017-10,63
2017-11,68
2017-12,65
